94082,4432,7,done
92268,2164,4,done
13631,3550,8,done
80228,4881,5,done
19722,1690,4,done
15730,3282,8,done
28998,2332,3,done
3922,7849,3,done
22414,9596,9,done
45684,5237,4,done
11571,9896,1,done
12044,6979,6,done
72173,3946,10,done
5711,6052,2,done
45060,1579,8,done
63315,7355,8,done
23144,2585,9,done
46797,7473,7,done
94585,5617,4,done
16764,5349,10,done
74444,13,5,done
37501,4038,9,done
89771,988,1,done
98851,1791,8,done
61302,8152,4,done
76408,4050,7,done
8323,7530,5,done
96212,1479,7,done
81176,3961,9,done
10905,3051,8,done
41072,6860,7,done
28986,9637,9,done
52897,1559,1,done
51935,3796,7,done
69115,1531,10,done
1358,4364,9,done
87202,2497,10,done
33673,7686,1,done
75964,5792,7,done
48549,2897,5,done
24179,9708,1,done
1205,660,5,done
92247,2183,9,done
41535,310,8,done
64123,7616,5,done
23006,3678,9,done
18953,7336,3,done
96176,6568,9,done
67031,7335,8,done
70425,911,8,done
16867,427,10,done
7220,795,10,done
39131,6075,8,done
97715,6107,8,done
59073,4494,2,done
61180,719,8,done
5404,6099,1,done
18034,8473,2,done
26139,7470,9,done
59575,8099,7,done
87287,3298,3,done
25614,2472,6,done
17250,2487,7,done
86728,6432,2,done
96883,9460,4,done
30323,9684,5,done
32847,3297,9,done
81547,5224,8,done
28650,4558,9,done
89789,5743,4,done
14301,7407,9,done
52714,9908,6,done
30061,3513,3,done
1591,8805,2,done
94942,670,8,done
50218,2629,8,done
39214,3666,6,done
22425,3425,6,done
95379,8144,3,done
59958,2602,6,done
17183,441,5,done
77700,8916,2,done
97436,2683,7,done
61165,9001,3,done
96032,4061,7,done
85573,4252,7,done
55703,9402,9,done
88309,3728,10,done
19999,4200,9,done
97899,3129,7,done
64398,6935,4,done
80803,5858,2,done
24096,2372,9,done
63469,2627,9,done
13232,6138,6,done
53805,7462,3,done
20837,7058,9,done
99013,2816,10,done
50281,4650,9,done
45398,978,10,done
6351,5963,8,done
91498,8666,9,done
23060,3415,8,done
42142,5711,7,done
51691,6254,6,done
99318,2614,1,done
65526,1048,9,done
30892,2461,2,done
22096,2556,6,done
54300,8455,3,done
37070,7790,6,done
19201,2111,4,done
75757,123,9,done
35852,3658,10,done
26225,9390,4,done
93570,1722,1,done
98632,7293,10,done
99053,547,8,done
81946,7004,4,done
70153,7566,5,done
44362,9156,4,done
70399,8477,6,done
40710,8625,3,done
3985,1710,2,done
36639,3341,4,done
99955,5240,4,done
54117,8995,3,done
17477,5412,6,done
48993,2142,9,done
48593,5907,9,done
69811,708,4,done
72908,8469,1,done
38461,6374,10,done
5389,3282,9,done
54862,5938,5,done
22651,4588,4,done
93430,647,7,done
82286,9361,1,done
63082,242,10,done
85311,6938,4,done
97614,9450,7,done
53635,9934,10,done
67432,1120,7,done
50477,6242,1,done
84492,3944,2,done
71467,8078,6,done
17644,8558,6,done
51632,7738,9,done
33151,7337,7,done
4041,7198,4,done
72246,8048,9,done
34934,4133,6,done
42121,4307,7,done
37097,2162,6,done
6832,6921,1,done
7072,3334,3,done
64095,232,4,done
53052,5636,2,done
9805,4333,6,done
6092,1750,5,done
26965,6004,9,done
28467,5834,5,done
5083,4219,5,done
37513,1758,2,done
33824,1401,1,done
63873,3011,6,done
1174,5165,8,done
30143,7176,10,done
19196,882,3,done
52890,6115,10,done
60325,6887,3,done
27648,4487,2,done
71924,3401,3,done
19723,3314,5,done
2634,3169,8,done
63414,7327,10,done
42056,3965,5,done
43486,7259,6,done
26491,474,6,done
96627,1911,9,done
23441,8331,8,done
3509,3785,8,done
33334,5378,3,done
26871,1394,9,done
26536,1760,8,done
90311,948,3,done
63096,4522,2,done
5930,2932,4,done
42413,4881,1,done
9538,9426,5,done
80597,3860,3,done
61919,8297,1,done
97901,6479,8,done
86758,3729,3,done
30987,1610,7,done
79944,1769,7,done
93443,626,9,done
96035,7753,10,done
46361,6997,9,done
84196,447,8,done
42568,2137,1,done
71736,6408,10,done
65845,9747,2,done
6538,9777,9,done
90286,243,6,done
37328,8829,4,done
76963,6428,3,done
89881,882,6,done
65517,5045,7,done
16450,4559,3,done
93929,8603,10,done
99718,8266,4,done
98921,1217,3,done
10924,1438,6,done
47494,4781,5,done
63753,1375,7,done
72756,3160,6,done
1364,8367,8,done
9290,9761,8,done
6092,3204,1,done
74453,1076,3,done
50883,606,6,done
1353,579,1,done
40153,7911,6,done
10355,2284,8,done
35784,6212,9,done
67761,4125,6,done
57830,5537,4,done
51252,8924,1,done
8142,7905,5,done
24642,4340,6,done
16040,4814,7,done
67558,7016,9,done
71330,8875,2,done
73509,7523,7,done
81882,3555,5,done
49575,9702,4,done
22765,2749,5,done
48509,6431,3,done
91953,407,1,done
12616,9758,1,done
80849,8772,1,done
61601,95,6,done
77190,6242,7,done
98196,6023,8,done
67818,5083,7,done
29843,5055,3,done
67142,6393,1,done
79000,7958,10,done
28043,8959,3,done
35442,2633,6,done
89281,3907,10,done
91235,8477,6,done
22427,3140,1,done
22388,6232,10,done
61461,590,1,done
8501,4934,5,done
32083,4047,7,done
96887,7761,6,done
96511,3106,7,done
10461,6020,10,done
37407,6470,1,done
2302,3191,4,done
47302,7599,8,done
40098,3037,5,done
70902,1578,8,done
33697,2818,6,done
36588,7578,9,done
61804,669,4,done
97086,7421,2,done
12580,7476,8,done
38042,3850,2,done
66404,6322,5,done
59272,9831,2,done
44753,3218,7,done
88686,1896,1,done
79102,2151,1,done
98284,8011,4,done
99689,7218,1,done
86924,732,4,done
61888,1143,7,done
99433,4447,2,done
12573,5838,1,done
27494,8685,9,done
76931,7321,8,done
20389,1249,7,done
78114,7021,1,done
23409,440,5,done
1214,5483,8,done
83909,3821,1,done
50635,1809,5,done
84783,5785,2,done
37451,3940,8,done
